NPROC;TIME(s)-BY-NODE;TIME(s)-BY-SLOT;NBODIES;NITER
1;0.849502;0.849599;1250;100
2;1.719401;3.309983;2500;100
3;2.574388;5.015560;3750;100
4;3.453151;6.709647;5000;100
5;4.329359;8.387072;6250;100
6;5.243546;10.079795;7500;100
7;6.074259;11.723718;8750;100
8;6.942467;13.386046;10000;100
9;15.060218;15.080686;11250;100
10;16.704346;16.758822;12500;100
11;18.395322;18.357317;13750;100
12;20.068630;20.076190;15000;100
13;21.731069;21.775111;16250;100
14;23.398230;23.370446;17500;100
15;25.120434;25.058991;18750;100
16;26.807293;26.743134;20000;100
