NPROC;TIME(s)-BY-NODE;TIME(s)-BY-SLOT;NBODIES;NITER
1;243.352486;243.352486;20000;100
2;121.906104;229.968569;20000;100
3;81.907818;155.275747;20000;100
4;61.136194;116.380243;20000;100
5;49.765549;93.154542;20000;100
6;41.118755;77.850461;20000;100
7;35.531384;66.625357;20000;100
8;30.562832;58.134904;20000;100
9;51.651247;51.68622;20000;100
10;46.537395;46.538289;20000;100
11;42.304046;42.290434;20000;100
12;38.79915;38.807365;20000;100
13;35.879529;35.8501;20000;100
14;33.285603;33.280112;20000;100
15;31.125759;31.011883;20000;100
16;29.15112;29.136822;20000;100
