NPROC;TIME(s)-BY-NODE;TIME(s)-BY-SLOT;NBODIES;NITER
1;140.512705;140.359142;16000;100
2;70.337098;135.273053;16000;100
3;46.913424;91.016293;16000;100
4;35.266008;68.304733;16000;100
5;28.237641;54.660705;16000;100
6;23.592200;45.503649;16000;100
7;20.246632;39.025720;16000;100
8;17.783852;34.156202;16000;100
9;30.319670;30.349421;16000;100
10;27.311595;27.352582;16000;100
11;24.875885;24.887370;16000;100
12;22.792859;22.955909;16000;100
13;21.071538;21.117881;16000;100
14;19.573079;19.578810;16000;100
15;18.261575;18.278179;16000;100
16;17.172282;17.162803;16000;100
