NPROC;TIME(s)-BY-NODE;TIME(s)-BY-SLOT;NBODIES;NITER
1;0.543729;0.544123;1000;100
2;1.102950;2.113407;2000;100
3;1.655145;3.214309;3000;100
4;2.219912;4.317960;4000;100
5;2.764868;5.375000;5000;100
6;3.367583;6.478545;6000;100
7;3.895808;7.503601;7000;100
8;4.462867;8.638778;8000;100
9;9.608846;9.677836;9000;100
10;10.721975;10.898327;10000;100
11;11.799202;11.807367;11000;100
12;12.840379;12.934181;12000;100
13;13.971071;13.953695;13000;100
14;14.996576;15.054036;14000;100
15;16.212376;16.077099;15000;100
16;17.120217;17.158752;16000;100
